,beta,gamma,size,file_name
20,3.3,0.8,173896,phase/N_400_Nit_24999_a_0.5_b_3.3_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,3.3,0.9,165469,phase/N_400_Nit_24999_a_0.5_b_3.3_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,3.3,1.0,167544,phase/N_400_Nit_24999_a_0.5_b_3.3_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,4.4,0.05,521210,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,4.4,0.1,709808,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,4.4,0.2,723319,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,4.4,0.30000000000000004,784484,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,4.4,0.4,877632,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,4.4,0.5,910010,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,4.4,0.6,747228,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,4.4,0.7000000000000001,601606,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,4.4,0.8,177598,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,4.4,0.9,177009,phase/N_400_Nit_24999_a_0.5_b_4.4_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,4.4,1.0,178699,phase/N_400_Nit_24999_a_0.5_b_4.4_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,5.5,0.05,214414,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,5.5,0.1,186256,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,5.5,0.2,172160,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,5.5,0.30000000000000004,176700,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,5.5,0.4,180121,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,5.5,0.5,161096,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,5.5,0.6,190983,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,5.5,0.7000000000000001,172221,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,5.5,0.8,162331,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,5.5,0.9,173432,phase/N_400_Nit_24999_a_0.5_b_5.5_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,5.5,1.0,172905,phase/N_400_Nit_24999_a_0.5_b_5.5_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,6.5,0.05,639759,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,6.5,0.1,715663,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,6.5,0.2,858229,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,6.5,0.30000000000000004,885840,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,6.5,0.4,801388,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
