,beta,gamma,size,file_name
20,3.3,0.8,142065,phase/N_400_Nit_25000_a_0.5_b_3.3_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,3.3,0.9,137497,phase/N_400_Nit_25000_a_0.5_b_3.3_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,3.3,1.0,139305,phase/N_400_Nit_25000_a_0.5_b_3.3_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,4.4,0.05,343251,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,4.4,0.1,450408,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,4.4,0.2,616531,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,4.4,0.30000000000000004,716858,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,4.4,0.4,774205,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,4.4,0.5,775258,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,4.4,0.6,537526,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,4.4,0.7000000000000001,147408,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,4.4,0.8,131859,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,4.4,0.9,154645,phase/N_400_Nit_25000_a_0.5_b_4.4_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,4.4,1.0,156301,phase/N_400_Nit_25000_a_0.5_b_4.4_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,5.5,0.05,198364,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,5.5,0.1,203464,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,5.5,0.2,149585,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
